"","Word","Count"
"38329","general",456
"44108","hot",456
"94490","whole",456
"44256","however",455
"38157","gave",454
"7042","9",453
"71777","read",453
"29988","drive",451
"33910","fall",451
"85331","talking",451
"18278","buy",449
"24223","cost",449
"47212","issue",449
"56886","men",449
"8005","across",448
"12888","ball",448
"30748","east",448
"40111","green",448
"21983","club",446
"23847","cool",446
"89623","tweet",443
"24318","council",442
"30658","earlier",442
"78101","services",442
"38564","gets",439
"15188","bit",437
"33367","experience",437
"42472","held",437
"15138","birthday",436
"80882","social",434
"42250","heard",433
"51221","large",433
"65465","parents",433
"36154","football",432
"53501","looks",432
"56580","medical",432
"89494","turn",432
"70804","question",431
"11279","art",430
"92752","vote",430
"26575","death",429
"52596","likely",429
"81160","sometimes",429
"93175","wants",429
"35044","finally",426
"2307","2009",425
"8120","added",425
"966","13",423
"59281","mother",423
"85265","taken",423
"19212","career",422
"82613","starting",421
"13379","based",420
"11479","ask",419
"31590","else",419
"88352","town",419
"14041","began",418
"24414","couple",417
"94635","wife",417
"26716","decision",416
"73289","republican",415
"18626","california",414
"64008","oregon",414
"31819","employees",413
"41924","hate",413
"73512","rest",413
"26906","defense",412
"59430","movie",412
"39210","goal",411
"51749","leave",411
"8114","add",409
"13831","beautiful",409
"67156","pick",409
"95457","workers",409
"73221","reported",408
"38916","given",407
"42266","heart",407
"63988","order",407
"33159","excited",406
"78161","seven",406
"81184","son",406
"81793","spent",406
"19762","cause",405
"1139","14",404
"35055","financial",404
"33758","fact",403
"56463","means",402
"56555","media",402
"37155","front",399
"95455","worked",399
"45721","include",398
"50027","knew",398
"82380","staff",398
"5101","50",397
"11886","attorney",397
"22814","committee",397
"20759","chicago",396
"30945","economy",396
"31304","either",396
"71922","reason",396
"79141","shows",396
"33206","executive",395
"82020","sports",395
"89577","tv",395
"47573","james",394
"23728","control",393
"48615","june",393
"55856","matter",393
"83600","strong",391
"31629","email",390
"63656","online",390
"78738","shes",390
"38872","girls",388
"95240","woman",388
"54896","manager",387
"26297","david",385
"9842","america",384
"39319","goes",384
"50104","known",384
"51800","led",383
"53606","loss",383
"60748","needed",383
"72981","remember",383
"94146","weve",383
"12188","average",382
"72041","recently",382
"73693","return",382
"94852","wine",382
"41999","havent",381
"72034","received",381
