"","Word","Count"
"2108451","what do you do",11
"2109792","what it means to",11
"2111347","what was going on",11
"2122406","which is based in",11
"2138011","will be at the",11
"2178773","would be a good",11
"2189128","year according to the",11
"2198016","york and new jersey",11
"2201109","you can get it",11
"2206835","you know what i",11
"64207","a few days later",10
"68383","a good time to",10
"73822","a letter to the",10
"75214","a long time ago",10
"75292","a long way to",10
"88776","a role in the",10
"98201","a trip to the",10
"100340","a way to get",10
"153990","am i the only",10
"154707","am to 4 pm",10
"168815","and a member of",10
"174601","and ceo of the",10
"207436","and that he was",10
"215173","and we have a",10
"215298","and we want to",10
"226792","anything to do with",10
"238668","are part of the",10
"241982","are you coming to",10
"242232","are you ready for",10
"252371","as far as the",10
"272820","at the corner of",10
"274735","at the time the",10
"289425","back in the day",10
"321790","been one of the",10
"375573","but at the same",10
"378353","but in the end",10
"382509","but there is no",10
"398841","came up with a",10
"420115","center for the performing",10
"551467","do a better job",10
"551508","do a lot of",10
"578440","during world war ii",10
"620566","expected to be a",10
"686528","for the follow i",10
"687897","for the performing arts",10
"688472","for the second consecutive",10
"712115","from one of the",10
"734405","get rid of the",10
"742192","glad you enjoyed it",10
"748376","going back to the",10
"749248","going to be in",10
"750210","going to take a",10
"765691","great to see you",10
"778677","had nothing to do",10
"786951","happy birthday to my",10
"790371","has a history of",10
"798935","have a wonderful day",10
"806315","have to look at",10
"806711","have to wait until",10
"807910","having a good time",10
"818319","he wants to be",10
"880900","i dont even know",10
"881027","i dont know about",10
"881255","i dont think it",10
"883860","i hate when people",10
"884574","i have to do",10
"894697","i went to the",10
"899353","if i had a",10
"901115","if there is a",10
"902357","if you have to",10
"902361","if you havent already",10
"906392","im going to bed",10
"907219","im looking forward to",10
"917562","in a variety of",10
"923398","in each of the",10
"925084","in front of me",10
"933497","in part because of",10
"935175","in response to a",10
"939119","in the big leagues",10
"939215","in the bottom of",10
"939592","in the city of",10
"943030","in the number of",10
"944816","in the state of",10
"945157","in the third round",10
"982423","is looking forward to",10
"989585","is the son of",10
"997062","it could have been",10
"1043036","keep up the good",10
"1053184","know what you think",10
"1079245","less than a week",10
"1089716","like the rest of",10
"1121233","made it clear that",10
"1143097","may be able to",10
"1165470","might be able to",10
"1182277","months of this year",10
"1220250","need to catch up",10
"1257124","now i have to",10
"1298739","of the los angeles",10
"1334485","on the part of",10
"1342486","one of the nations",10
"1342589","one of the things",10
"1372468","out of high school",10
"1372898","out of the game",10
"1377769","over and over again",10
"1379176","over the past few",10
"1379186","over the past two",10
